student_id,company_name,tech_skills_count,tech_skills_percentage,soft_skills_count,soft_skills_percentage,eligible,readiness_score,prediction
1,tcs,1,33.33,2,66.67,1,69.1,Medium
3,tcs,1,33.33,3,100.0,1,75.07,High
7,tcs,1,33.33,2,66.67,1,65.3,Medium
9,tcs,2,66.67,2,66.67,1,76.67,High
11,tcs,1,33.33,2,66.67,1,69.1,Medium
12,tcs,1,33.33,2,66.67,1,66.5,Medium
15,tcs,1,33.33,3,100.0,1,72.67,Medium
16,tcs,1,33.33,2,66.67,1,64.7,Medium
17,tcs,1,33.33,1,33.33,1,63.73,Medium
20,tcs,1,33.33,2,66.67,1,67.3,Medium
21,tcs,1,33.33,2,66.67,1,70.5,Medium
26,tcs,1,33.33,2,66.67,1,69.9,Medium
27,tcs,2,66.67,2,66.67,1,74.27,Medium
28,tcs,1,33.33,2,66.67,1,70.1,Medium
29,tcs,1,33.33,2,66.67,1,68.9,Medium
30,tcs,2,66.67,2,66.67,1,73.47,Medium
31,tcs,1,33.33,2,66.67,1,74.1,Medium
32,tcs,2,66.67,1,33.33,1,63.7,Medium
33,tcs,2,66.67,2,66.67,1,74.87,Medium
34,tcs,1,33.33,2,66.67,1,68.1,Medium
35,tcs,2,66.67,1,33.33,1,66.7,Medium
36,tcs,2,66.67,1,33.33,1,67.5,Medium
39,tcs,1,33.33,1,33.33,1,63.33,Medium
40,tcs,1,33.33,1,33.33,1,61.73,Medium
41,tcs,1,33.33,2,66.67,1,68.7,Medium
45,tcs,1,33.33,1,33.33,1,62.93,Medium
47,tcs,1,33.33,2,66.67,1,63.9,Medium
48,tcs,1,33.33,2,66.67,1,69.5,Medium
49,tcs,1,33.33,1,33.33,1,63.53,Medium
50,tcs,1,33.33,1,33.33,1,68.73,Medium
53,tcs,1,33.33,2,66.67,1,69.5,Medium
54,tcs,2,66.67,2,66.67,1,66.87,Medium
57,tcs,2,66.67,1,33.33,1,62.3,Medium
58,tcs,1,33.33,1,33.33,1,64.53,Medium
59,tcs,1,33.33,1,33.33,1,66.53,Medium
62,tcs,1,33.33,1,33.33,1,70.13,Medium
63,tcs,1,33.33,1,33.33,1,63.53,Medium
